LU,YR_BUILT,GROSS_TAX
R3,1900,506289
R3,1920,557641
R3,1905,507546
R3,1900,484910
R2,1900,494552
R3,1900,595474
R3,1900,640852
R3,1900,658354
R3,1900,549362
R3,1900,316496
R2,1900,589291
R3,1900,550934
R3,1900,592120
R3,1900,619473
R2,1900,526096
R2,1899,515826
R3,1900,447286
R3,1900,598932
R3,1900,654581
R3,1900,615072
R1,1910,223433
R3,1900,570217
R3,1900,562148
R3,1900,529869
R3,1910,559946
R2,1900,376442
R1,1900,358102
R2,1900,488997
R3,1910,652066
R3,1900,618949
R3,1900,677218
R2,1900,491198
R1,1920,354015
R2,1900,421610
R3,1900,471286
R3,1900,615910
R3,1880,578257
R3,1900,578257
R3,1900,608259
R3,1900,522952
R4,1899,768708
R1,1900,350242
R2,1900,490255
R3,1899,602286
R3,1900,528507
R3,1900,669044
R2,1900,471181
R3,1900,583317
R3,1900,523057
R3,1900,602705
R2,1900,483862
R4,1900,500420
R1,1900,198806
R1,1900,325824
R3,1900,448544
R3,1900,505870
C,1989,1764000
R3,1920,748272
R3,1910,780446
R2,1910,407253
R2,1910,340076
RC,1899,928893
R2,1920,351604
R3,1910,554078
R3,1910,505765
R3,1910,591387
R3,1910,683506
R2,1910,522428
R3,1910,659192
R3,1910,524000
R2,1910,497905
R2,1910,504508
R2,1910,577344
R3,1910,630791
R2,1910,441523
R3,1910,623246
R3,1910,526201
RC,1899,249536
C,1997,2051532
RC,1899,1086300
RC,1915,842953
RC,1899,947147
RC,1899,826581
RC,1899,663911
C,1914,555660
C,1930,985320
RC,1899,550696
C,1899,476280
RC,1899,987942
RC,1900,656906
R3,1910,581012
RC,1910,986689
R2,1905,520123
R3,1900,611822
R3,1905,569902
R3,1900,731923
R2,1905,458396
R3,1905,575772
R3,1900,864470
R3,1910,620835
R3,1900,500001
R3,1900,608678
R3,1900,341962
R2,1905,464893
R3,1930,497381
R3,1905,695830
R2,1920,388598
E,0,0
R2,1905,359359
RL,0,15196
RL,0,15091
R1,1905,388389
E,1910,0
C,1925,675360
C,1930,541800
C,1899,1229760
C,1899,283500
RC,1899,454182
RC,1899,707099
C,1899,624960
C,1899,4341960
RC,1910,648851
R3,1900,355272
R3,1900,669568
R3,1900,387865
R3,1900,557432
R3,1900,501154
R3,1900,664327
R3,1910,667367
R3,1900,646302
RL,0,117795
R3,1899,495076
R3,1930,550095
R3,2007,808218
R3,1900,563091
R3,1900,550829
R1,1860,385350
R2,1905,424754
R3,1900,614547
R3,1900,592540
R3,1900,484910
R3,1900,551668
R3,1900,570846
R3,1900,634669
CM,1900,0
CD,2015,276253
CD,2015,286733
CD,2015,301824
R4,1900,592644
R3,1899,527039
R3,1900,507442
R3,1890,869526
R3,1899,735068
R4,2015,951060
R3,1900,605115
CM,1899,0
CD,1899,135926
CD,1899,201950
CD,1899,209181
CD,1899,270070
CM,1910,0
CD,1910,158458
CD,1910,219556
CD,1910,228150
CD,1910,241145
CM,1999,0
CD,2014,232970
CD,2013,281283
CD,2013,279606
R3,1890,670091
R3,1890,537939
R3,1900,642738
R3,1900,530917
R3,1900,527773
R3,1900,514778
R3,1900,502097
R2,1900,337352
R1,1900,310313
R2,1940,437540
R3,1900,554078
R3,1900,576610
R3,1900,609517
R3,1900,710649
R3,1900,570951
R1,1900,336932
R1,1900,265668
R3,1899,622407
R3,1900,663175
R3,1900,444562
R3,1907,503564
R3,1900,624985
A,1899,1125552
A,1899,1125552
R3,1890,290925
R3,1890,481871
RL,0,13519
R3,1890,525782
CM,1890,0
CD,2016,446344
CD,2016,397297
CD,2016,422240
R3,1890,614128
R3,1900,538672
R3,1900,546218
R3,1988,549048
CM,2001,0
CD,2001,350976
CD,2001,350976
R1,1900,411340
R1,1900,334103
R1,1900,425907
R1,1910,281493
R1,1900,302453
R3,1890,551667
R2,1900,477783
CM,1900,0
CD,2016,461225
CD,2016,350242
R2,1900,440474
R1,1900,313876
CM,1900,0
CD,2015,325090
CD,2015,328339
CD,2015,364285
R3,1900,583212
R3,1900,561623
R3,1890,616643
R3,1900,627438
R3,1900,568645
R3,1910,514988
R3,1900,492455
R3,1900,518551
R3,1900,472858
R3,1924,600714
R3,1900,618949
R3,1900,604277
R2,1900,403795
R2,1900,611613
R2,2004,531965
R1,1900,396983
CM,1999,0
CM,1999,0
CD,1991,302767
CD,1991,237058
CD,1991,210753
CD,1991,237058
R3,1900,608784
R3,1900,618216
R3,1954,546008
R1,1900,244708
R1,1900,306750
R1,1900,309998
R1,1900,279921
R1,1900,279607
R3,1900,446029
R2,1900,398240
R1,1900,254664
R1,1900,327186
R1,1911,289353
R1,1911,349404
R4,1899,542864
R1,1940,292497
R1,1900,333054
R1,1900,260533
R1,1900,276043
R1,1900,293650
R1,1900,333474
R1,1900,324776
R1,1900,363761
R3,1900,374136
R3,1900,483966
R3,1900,577134
R4,1900,715784
R3,1900,562357
R2,1900,476840
R2,1890,461749
R3,1890,541502
R1,1900,453051
R3,1900,683715
R1,1900,309265
R1,1900,336408
R2,1900,502621
R3,1910,496018
R3,1890,436282
R3,1890,544541
R3,1890,704570
R3,1890,583946
R3,1890,426955
R3,1890,495914
R3,1890,443409
R3,1890,646511
R3,1890,461749
CL,0,187740
CL,0,225036
CL,0,106596
CL,0,89964
R3,1890,599142
R3,1890,450745
R3,1899,693181
R3,1900,559213
R3,1900,588138
RL,0,36156
R3,1900,682562
R3,1900,682562
R3,1930,499162
R3,1890,493294
R3,1890,489626
R3,1890,455042
R4,1899,487844
R3,1899,561204
R3,1900,301196
RC,1940,984674
C,1920,652680
R3,1900,551248
R1,1925,307798
R2,1925,460806
R1,1925,262251
R2,1925,439427
RL,0,29868
C,1982,1123920
C,1982,1123920
C,1930,1025640
RC,1930,500943
R3,1915,266539
R3,1915,266539
R3,1900,602810
R3,1907,774158
R3,1900,512577
RC,1920,475712
R3,1900,533328
R3,1915,564872
R3,1900,666423
R3,1900,606163
RC,1910,1030668
RC,1910,1474695
R4,1900,767660
R4,1900,767660
C,1910,1173060
R3,1900,350871
E,0,0
C,1899,890820
C,1910,434700
RC,1940,709275
RC,1899,663085
R3,1900,481556
R3,1900,444038
CL,0,272160
R4,1960,1080488
R2,1910,357054
C,1960,487620
RC,1940,871505
RC,1919,814996
RC,1910,1127346
R3,1905,408196
RC,1920,429857
RC,0,594720
RC,1960,408182
RC,1940,464969
R2,1899,409978
C,1950,1300572
CL,0,65520
R1,1910,249633
R1,1915,254559
C,1899,220500
R3,1900,446238
R1,1925,288934
R2,1925,367953
RC,1925,458052
CL,0,150696
CL,0,117936
R2,2007,448020
R3,1910,558165
R1,1905,346364
C,1910,1050840
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,,0
E,,0
E,0,0
E,0,0
R2,1880,482709
R1,1915,263153
R1,1900,344373
RL,0,41606
R1,1900,302348
R2,1900,472124
R3,1900,540768
R1,1900,317230
R3,1900,516036
R3,1900,558584
R1,1900,377071
R1,1900,354958
R1,1900,339028
R1,1900,325404
R1,1876,296898
R1,1900,250891
E,0,0
RL,0,39929
E,0,0
E,1915,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,1996,0
E,1899,0
R2,1905,416790
RL,0,35213
R2,1905,422240
R2,1905,410292
R2,1905,395620
R2,1905,499278
RL,0,22113
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
CL,0,149436
CL,0,21566160
E,0,0
E,0,0
CL,0,157752
E,0,0
C,,1668240
C,1960,30150540
E,,0
E,0,0
C,1979,6596100
I,0,4899888
E,0,0
E,,0
I,1965,1109052
I,,4406724
E,,0
I,,3062808
R1,1890,259275
R3,1900,504612
R3,1905,467408
R3,1900,451793
